Cultivar,H_Max,H_Max_unscaled,H_over_R,H_over_V,H_over_V_40,H_over_V_60,Leaf_angle_0,Leaf_angle_1,Leaf_angle_2,Leaf_angle_3,Leaf_angle_count,Main_leaf_angle,R_Max,R_Max_unscaled,R_over_V,R_over_V_40,R_over_V_60,Ring Diameter,Scale,V_100,V_100_unscaled,V_40,V_40_unscaled,V_60,V_60_over_V_40,V_60_unscaled,V_over_V_40,V_over_V_60,plane_projection_area,plane_projection_area_unitless
Wheat_Kukri_D2_2023-06-28-1835_fused_output_cluster_3,19.15129437,0.629038542,1.373562829,0.084049293,0.180896169,0.139695468,22.30749324,19.14005829,,,2,19.14005829,13.9427873,0.457961244,0.061190716,0.131698504,0.139695468,,30.4453433,227.8578886,0.008074236,105.8689879,0.00375151,137.0931683,1.294932265,0.004857952,2.152262841,1.662065961,,
Wheat_Kukri_D2_2023-06-28-1835_fused_output_cluster_4,24.03788442,0.789542236,2.904810295,0.305913448,0.850685712,0.533017694,14.1380857,15.90779634,,,2,15.90779634,8.275199403,0.271805094,0.105312711,0.292854137,0.533017694,,30.4453433,78.5774034,0.002784422,28.25706849,0.001001301,45.09772318,1.595980248,0.001598056,2.780805214,1.74238072,,
Wheat_Kukri_D2_2023-06-28-1835_fused_output_cluster_5,18.7734696,0.616628606,2.873634673,0.216430477,0.408809844,0.290802491,24.17153118,20.09232272,,,2,20.09232272,6.533004969,0.214581419,0.075315933,0.142262288,0.290802491,,30.4453433,86.74133993,0.003073714,45.9222542,0.001627274,64.55745791,1.405798975,0.00228762,1.888873737,1.343630043,,
Wheat_Kukri_D3_2023-06-28-1928_fused_output_cluster_0,22.77051725,0.751498491,1.665959937,0.102240812,0.210609098,0.172008029,19.10691388,25.19290579,,,2,25.19290579,13.66810614,0.451090374,0.061370511,0.126419065,0.172008029,,30.30015031,222.7145574,0.008005975,108.1174436,0.003886525,132.3805483,1.224414339,0.004758716,2.059931774,1.682381288,,
Wheat_Kukri_D3_2023-06-28-1928_fused_output_cluster_1,24.63905331,0.813166042,5.569891267,0.158998422,0.356413676,0.279095656,22.39064355,13.10531951,,,2,13.10531951,4.423614777,0.145993163,0.028546055,0.063989342,0.279095656,,30.30015031,154.9641375,0.005570534,69.13049347,0.002485051,88.28175136,1.277030539,0.003173486,2.241617696,1.755336014,,
Wheat_Kukri_D3_2023-06-28-1928_fused_output_cluster_3,27.26941346,0.899976178,2.529553609,0.234971256,1.135679836,0.790957251,20.1058561,,,,1,20.1058561,10.78032636,0.355784584,0.092890404,0.448964525,0.790957251,,30.30015031,116.0542525,0.004171831,24.01153266,0.000863149,34.4764694,1.435829603,0.001239334,4.833271335,3.366187272,,
Wheat_Kukri_D3_2023-06-28-1928_fused_output_cluster_4,24.08491924,0.79487788,1.557911815,0.087953861,0.266343781,0.199469599,21.21081546,17.15579794,,,2,17.15579794,15.4597449,0.510220073,0.056456251,0.17096204,0.199469599,,30.30015031,273.8358391,0.009843645,90.42793908,0.003250636,120.7448119,1.335260022,0.004340444,3.028221608,2.267889069,,
Wheat_Kukri_D3_2023-06-28-1928_fused_output_cluster_5,21.38043054,0.70562127,1.235957209,0.089461705,0.278409814,0.199645081,25.48470735,,,,1,25.48470735,17.29868185,0.57091076,0.072382526,0.225258457,0.199645081,,30.30015031,238.9897504,0.008591024,76.79481646,0.002760562,107.0921977,1.39452378,0.00384967,3.112055753,2.231626164,,
Wheat_Kukri_D4_2023-06-28-1953_fused_output_cluster_1,26.05755092,0.86106435,3.175613354,0.129966389,0.254063392,0.196567615,24.15966191,17.31146376,,,2,17.31146376,8.20551749,0.271148989,0.040926389,0.08000451,0.196567615,,30.26202503,200.4945366,0.007234501,102.563186,0.003700816,132.5627874,1.292498727,0.004783301,1.954839201,1.512449614,,
Wheat_Kukri_D4_2023-06-28-1953_fused_output_cluster_3,24.2975314,0.802905007,1.772671439,0.18336289,0.552349411,0.361948521,22.09485129,13.14248155,,,2,13.14248155,13.70673147,0.452935039,0.103438734,0.311591533,0.361948521,,30.26202503,132.5106264,0.004781418,43.98942211,0.001587283,67.12979891,1.526044119,0.002422264,3.012329329,1.973946422,,
